My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Grass
1,forehand dropshot,right,2,left,forehand groundstoke,1,5.0,yes,down the t,1,1,forehand slice,Grass
3,backhand groundstroke,left,1,right,forehand groundstoke,1,3.0,yes,out wide,1,3,out wide,Grass
1,forehand groundstoke,right,1,right,forehand groundstoke,0,3.0,yes,body,1,1,body,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,0,3.0,yes,out wide,1,2,out wide,Grass
2,backhand groundstroke,middle,1,right,forehand groundstoke,1,3.0,yes,out wide,1,2,out wide,Grass
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,5.0,yes,down the t,2,1,forehand groundstoke,Grass
1,backhand groundstroke,right,1,right,forehand groundstoke,1,4.0,yes,down the t,1,1,down the t,Grass
1,forehand groundstoke,right,1,middle,forehand groundstoke,0,6.0,yes,down the t,2,1,forehand groundstoke,Grass
3,forehand groundstoke,left,1,middle,backhand groundstroke,1,4.0,yes,body,1,3,body,Grass
1,forehand groundstoke,right,1,left,forehand slice,1,4.0,yes,down the t,1,1,down the t,Grass
3,backhand slice,left,3,left,forehand groundstoke,0,11.0,yes,body,3,2,backhand slice,Grass
2,forehand slice,middle,2,left,forehand groundstoke,0,6.0,yes,out wide,3,1,backhand slice,Grass
5,forehand groundstoke,middle,2,left,forehand volley,1,5.0,yes,body,5,1,backhand volley,Grass
2,backhand slice,middle,1,right,forehand groundstoke,1,4.0,yes,out wide,1,2,out wide,Grass
2,backhand groundstroke,middle,1,left,forehand groundstoke,0,4.0,yes,body,1,2,body,Grass
2,backhand groundstroke,middle,2,right,forehand groundstoke,0,9.0,yes,body,2,3,forehand groundstoke,Grass
1,backhand groundstroke,right,3,middle,forehand groundstoke,0,7.0,yes,out wide,3,3,forehand groundstoke,Grass
3,forehand groundstoke,left,1,middle,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Grass
2,backhand slice,middle,3,middle,forehand groundstoke,1,7.0,yes,down the t,2,1,forehand groundstoke,Grass
2,backhand groundstroke,middle,3,left,backhand groundstroke,0,6.0,yes,down the t,3,1,forehand groundstoke,Grass
4,backhand groundstroke,right,3,right,forehand volley,1,5.0,yes,down the t,5,1,backhand volley,Grass
3,forehand groundstoke,left,1,left,backhand groundstroke,0,3.0,yes,out wide,1,3,out wide,Grass
