My Prev,Incoming Shot,Incoming Direction,Opponent Previous,Outgoing Direction,Outgoing Shot,Point Winner,Rally,Serving,Serve,Second Prev,Opponent_2nd,Prev Shot,Surface
1,forehand groundstoke,right,3,right,forehand groundstoke,1,7,yes,out wide,5,1,forehand overhead,Hard
3,backhand groundstroke,left,1,right,forehand groundstoke,1,6,yes,down the t,1,1,forehand slice,Hard
2,forehand groundstoke,middle,1,middle,forehand groundstoke,1,8,yes,body,1,1,forehand groundstoke,Hard
3,forehand groundstoke,left,3,middle,backhand slice,0,11,yes,body,3,3,backhand slice,Clay
1,backhand groundstroke,right,3,middle,forehand groundstoke,1,6,yes,down the t,2,1,backhand groundstroke,Clay
3,backhand groundstroke,left,3,left,backhand groundstroke,1,6,yes,body,3,1,backhand groundstroke,Clay
2,forehand groundstoke,middle,1,right,forehand groundstoke,1,3,yes,out wide,1,2,out wide,Clay
3,backhand groundstroke,left,3,right,backhand dropshot,1,7,yes,out wide,3,3,backhand groundstroke,Clay
1,forehand groundstoke,right,2,middle,forehand groundstoke,0,8,yes,down the t,2,2,backhand groundstroke,Clay
2,backhand slice,middle,1,right,forehand groundstoke,1,4,yes,out wide,1,2,out wide,Clay
5,backhand slice,middle,3,left,forehand swing volley,0,6,yes,down the t,1,1,forehand groundstoke,Clay
4,backhand slice,right,1,right,forehand swing volley,1,3,yes,down the t,1,4,down the t,Clay
2,forehand slice,middle,1,left,forehand groundstoke,1,4,yes,down the t,1,2,down the t,Clay
2,backhand slice,middle,1,left,forehand groundstoke,1,3,yes,down the t,1,2,down the t,Clay
2,forehand slice,middle,1,right,forehand groundstoke,1,3,yes,out wide,1,2,out wide,Clay
3,backhand groundstroke,left,3,left,forehand groundstoke,0,5,yes,out wide,2,1,forehand groundstoke,Clay
2,forehand groundstoke,middle,1,left,forehand groundstoke,0,5,yes,down the t,2,1,forehand groundstoke,Clay
2,backhand slice,middle,1,left,forehand groundstoke,0,3,yes,body,1,2,body,Clay
